,date,beginningCourse,high,deep,closingPrice
0,2014-06-09 00:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 01:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 02:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 03:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 04:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 05:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 06:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 07:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 08:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 09:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 10:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 11:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 12:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 13:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 14:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 15:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 16:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 17:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 18:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 19:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 20:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 21:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 22:00:00,107.91,109.295,107.8,109.085
0,2014-06-09 23:00:00,107.91,109.295,107.8,109.085
0,2014-06-10 00:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 01:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 02:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 03:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 04:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 05:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 06:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 07:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 08:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 09:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 10:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 11:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 12:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 13:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 14:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 15:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 16:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 17:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 18:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 19:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 20:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 21:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 22:00:00,109.145,109.495,108.44,108.865
0,2014-06-10 23:00:00,109.145,109.495,108.44,108.865
0,2014-06-11 00:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 01:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 02:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 03:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 04:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 05:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 06:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 07:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 08:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 09:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 10:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 11:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 12:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 13:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 14:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 15:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 16:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 17:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 18:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 19:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 20:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 21:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 22:00:00,108.92,109.575,108.905,109.495
0,2014-06-11 23:00:00,108.92,109.575,108.905,109.495
0,2014-06-12 00:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 01:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 02:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 03:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 04:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 05:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 06:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 07:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 08:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 09:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 10:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 11:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 12:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 13:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 14:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 15:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 16:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 17:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 18:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 19:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 20:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 21:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 22:00:00,109.485,112.725,109.485,112.67
0,2014-06-12 23:00:00,109.485,112.725,109.485,112.67
0,2014-06-13 00:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 01:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 02:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 03:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 04:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 05:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 06:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 07:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 08:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 09:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 10:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 11:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 12:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 13:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 14:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 15:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 16:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 17:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 18:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 19:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 20:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 21:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 22:00:00,112.785,114.06,112.005,112.36
0,2014-06-13 23:00:00,112.785,114.06,112.005,112.36
0,2014-06-16 00:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 01:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 02:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 03:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 04:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 05:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 06:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 07:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 08:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 09:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 10:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 11:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 12:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 13:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 14:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 15:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 16:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 17:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 18:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 19:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 20:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 21:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 22:00:00,113.115,113.195,112.34,112.92
0,2014-06-16 23:00:00,113.115,113.195,112.34,112.92
0,2014-06-17 00:00:00,113.02,113.785,112.165,113.39
0,2014-06-17 01:00:00,113.02,113.785,112.165,113.39
0,2014-06-17 02:00:00,113.02,113.785,112.165,113.39
