,Datum,Description,Day
0,2018-01-01 00:00:00,Neujahr,Monatg
0,2018-01-01 01:00:00,Neujahr,Monatg
0,2018-01-01 02:00:00,Neujahr,Monatg
0,2018-01-01 03:00:00,Neujahr,Monatg
0,2018-01-01 04:00:00,Neujahr,Monatg
0,2018-01-01 05:00:00,Neujahr,Monatg
0,2018-01-01 06:00:00,Neujahr,Monatg
0,2018-01-01 07:00:00,Neujahr,Monatg
0,2018-01-01 08:00:00,Neujahr,Monatg
0,2018-01-01 09:00:00,Neujahr,Monatg
0,2018-01-01 10:00:00,Neujahr,Monatg
0,2018-01-01 11:00:00,Neujahr,Monatg
0,2018-01-01 12:00:00,Neujahr,Monatg
0,2018-01-01 13:00:00,Neujahr,Monatg
0,2018-01-01 14:00:00,Neujahr,Monatg
0,2018-01-01 15:00:00,Neujahr,Monatg
0,2018-01-01 16:00:00,Neujahr,Monatg
0,2018-01-01 17:00:00,Neujahr,Monatg
0,2018-01-01 18:00:00,Neujahr,Monatg
0,2018-01-01 19:00:00,Neujahr,Monatg
0,2018-01-01 20:00:00,Neujahr,Monatg
0,2018-01-01 21:00:00,Neujahr,Monatg
0,2018-01-01 22:00:00,Neujahr,Monatg
0,2018-01-01 23:00:00,Neujahr,Monatg
0,2018-01-05 00:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 01:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 02:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 03:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 04:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 05:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 06:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 07:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 08:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 09:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 10:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 11:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 12:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 13:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 14:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 15:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 16:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 17:00:00,Tag der Arbeit,Dienstag
0,2018-01-05 18:00:00,Tag der Arbeit,Dienstag
