Datum;Erster;Hoch;Tief;Schlusskurs
2021-04-26;0,8261;0,829;0,8253;0,8274
2021-04-23;0,8321;0,8324;0,8265;0,8266
2021-04-22;0,8309;0,8337;0,8286;0,8322
2021-04-21;0,8308;0,8334;0,8303;0,8308
2021-04-20;0,8308;0,8318;0,8279;0,8308
2021-04-19;0,836;0,8373;0,8301;0,8307
2021-04-16;0,8355;0,8368;0,8338;0,8346
2021-04-15;0,8348;0,8363;0,8339;0,8354
2021-04-14;0,8368;0,8369;0,8342;0,8348
2021-04-13;0,8394;0,8415;0,8365;0,8368
2021-04-12;0,8406;0,8423;0,839;0,8394
2021-04-09;0,8393;0,8426;0,8389;0,8403
2021-04-08;0,8425;0,8431;0,8384;0,8392
2021-04-07;0,8422;0,8431;0,8394;0,8425
2021-04-06;0,8465;0,8477;0,8419;0,8423
2021-04-05;0,85;0,8519;0,8461;0,8465
2021-04-02;0,849;0,8511;0,8485;0,8501
2021-04-01;0,8527;0,8537;0,849;0,8492
2021-03-31;0,8533;0,8544;0,8504;0,8527
2021-03-30;0,8499;0,8537;0,8494;0,8534
2021-03-29;0,8488;0,8503;0,848;0,8498
2021-03-26;0,8494;0,8495;0,8473;0,8479
2021-03-25;0,8466;0,8502;0,8455;0,8495
2021-03-24;0,8441;0,8468;0,8438;0,8466
2021-03-23;0,838;0,8444;0,8375;0,8439
2021-03-22;0,8414;0,8421;0,8371;0,8379
2021-03-19;0,8391;0,8422;0,8378;0,84
2021-03-18;0,8348;0,8399;0,8342;0,8391
2021-03-17;0,8402;0,8413;0,8343;0,8347
2021-03-16;0,8386;0,8415;0,8367;0,8402
2021-03-15;0,8363;0,8395;0,836;0,8385
2021-03-12;0,8345;0,8396;0,8342;0,8366
2021-03-11;0,8384;0,8392;0,834;0,8345
2021-03-10;0,8402;0,8425;0,8382;0,8385
2021-03-09;0,8441;0,8448;0,8393;0,8402
2021-03-08;0,8384;0,8443;0,8383;0,844
