timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1500661800,Jul 21 2017 - 6:30pm,complete,14837,Karlsruher SC,Osnabrück,N/A,1,0.00,0.00,2.32,0.63,2,2,4,2,0,2,"69,74","12,38",6,1,2,0,2,0,0,2,0,2,3,3,3,3,0,0,10,15,55,45,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.93,3.52,4.41,0.00,0.00,0.00,0.00,0.00,0.00,Wildparkstadion
1500724800,Jul 22 2017 - 12:00pm,complete,1209,Werder Bremen II,Unterhaching,N/A,1,0.00,0.00,1.00,1.11,3,0,3,0,0,0,"51,81,89","",4,5,3,0,1,0,1,2,1,0,13,12,9,5,4,7,24,8,39,61,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.38,3.34,2.30,0.00,0.00,0.00,0.00,0.00,0.00,Weserstadion Platz 11
1500724800,Jul 22 2017 - 12:00pm,complete,5063,Rot-Weiß Erfurt,Preußen Münster,N/A,1,0.00,0.00,0.68,1.05,1,1,2,2,1,1,"10","28",5,6,0,0,3,0,0,0,1,2,11,14,5,7,6,7,17,16,48,52,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.17,3.04,0.00,0.00,0.00,0.00,0.00,0.00,Multifunktionsarena Erfurt
1500724800,Jul 22 2017 - 12:00pm,complete,3354,Sportfreunde Lotte,Hansa Rostock,N/A,1,0.00,0.00,1.42,1.42,0,2,2,1,0,1,"","19,88",6,1,0,0,1,0,0,0,0,1,16,10,4,4,12,6,13,19,57,43,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.36,3.21,3.39,0.00,0.00,0.00,0.00,0.00,0.00,FRIMO Stadion
1500724800,Jul 22 2017 - 12:00pm,complete,6507,Hallescher FC,Paderborn,N/A,1,0.00,0.00,1.63,2.00,4,4,8,4,1,3,"1,73,74,84","5,18,45,60",3,10,3,0,1,0,1,2,0,1,12,13,8,9,4,4,14,19,49,51,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,3.32,3.92,0.00,0.00,0.00,0.00,0.00,0.00,ERDGAS Sportpark
1500724800,Jul 22 2017 - 12:00pm,complete,1962,Fortuna Köln,Aalen,N/A,1,0.00,0.00,1.63,0.79,1,0,1,0,0,0,"68","",3,6,2,0,2,0,1,1,1,1,10,11,4,6,6,5,18,6,42,58,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.04,3.16,2.60,0.00,0.00,0.00,0.00,0.00,0.00,Südstadion (Köln)
1500724800,Jul 22 2017 - 12:00pm,complete,2753,Wehen Wiesbaden,Carl Zeiss Jena,N/A,1,0.00,0.00,2.05,0.84,1,0,1,1,1,0,"45'1","",5,4,1,0,0,0,0,1,0,0,10,4,4,2,6,2,16,20,43,57,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,BRITA-Arena
1500724800,Jul 22 2017 - 12:00pm,complete,5088,Meppen,Würzburger Kickers,N/A,1,0.00,0.00,1.79,1.74,2,2,4,1,1,0,"26,82","57,60",5,1,2,0,2,0,0,2,0,2,6,14,3,6,3,8,21,12,50,50,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.18,3.20,2.48,0.00,0.00,0.00,0.00,0.00,0.00,Hänsch-Arena
1500811200,Jul 23 2017 - 12:00pm,complete,3150,Sonnenhof Großaspach,Magdeburg,N/A,1,0.00,0.00,1.16,1.95,4,1,5,1,1,0,"44,56,72,89","85",1,4,2,0,4,0,1,1,0,4,8,4,6,3,2,1,12,18,43,57,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.74,3.28,2.77,0.00,0.00,0.00,0.00,0.00,0.00,mechatronik Arena
1500811200,Jul 23 2017 - 12:00pm,complete,10494,Chemnitzer FC,Zwickau,N/A,1,0.00,0.00,1.16,0.63,1,0,1,1,1,0,"7","",2,5,1,0,3,0,1,0,2,1,11,20,6,11,5,9,26,19,42,58,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.07,3.46,3.87,0.00,0.00,0.00,0.00,0.00,0.00,community4you ARENA (Chemnitz)
1501261200,Jul 28 2017 - 5:00pm,complete,7790,Osnabrück,Wehen Wiesbaden,N/A,2,0.00,0.00,1.32,1.53,0,4,4,2,0,2,"","5,21,89,90",9,3,3,0,4,0,1,2,0,4,22,9,14,7,8,2,11,15,67,33,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.47,3.30,3.10,0.00,0.00,0.00,0.00,0.00,0.00,Bremer Brücke
1501261200,Jul 28 2017 - 5:00pm,complete,5000,Unterhaching,Karlsruher SC,N/A,2,0.00,0.00,1.74,1.32,3,2,5,4,2,2,"24,39,89","13,38",4,4,1,0,3,0,1,0,0,3,12,11,7,4,5,7,11,28,57,43,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.87,3.35,2.61,0.00,0.00,0.00,0.00,0.00,0.00,Alpenbauer Sportpark
1501329600,Jul 29 2017 - 12:00pm,complete,5103,Carl Zeiss Jena,Fortuna Köln,N/A,2,0.00,0.00,1.89,1.21,0,2,2,0,0,0,"","47,55",1,4,1,0,3,0,0,1,1,2,10,6,6,3,4,3,18,14,54,46,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.40,3.63,0.00,0.00,0.00,0.00,0.00,0.00,Ernst-Abbe-Sportfeld
1501329600,Jul 29 2017 - 12:00pm,complete,3866,Aalen,Hallescher FC,N/A,2,0.00,0.00,1.84,0.95,2,1,3,0,0,0,"58,69","72",7,6,0,0,2,0,0,0,1,1,11,12,6,5,5,7,14,16,50,50,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.32,3.32,3.37,0.00,0.00,0.00,0.00,0.00,0.00,Scholz Arena
1501329600,Jul 29 2017 - 12:00pm,complete,6181,Paderborn,Chemnitzer FC,N/A,2,0.00,0.00,2.37,0.47,3,2,5,2,2,0,"9,45'1,75","48,84",13,5,2,0,2,0,0,2,0,2,4,3,4,3,0,0,18,17,47,53,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.36,3.40,3.19,0.00,0.00,0.00,0.00,0.00,0.00,Benteler-Arena
1501329600,Jul 29 2017 - 12:00pm,complete,4092,Zwickau,Sportfreunde Lotte,N/A,2,0.00,0.00,1.53,0.68,1,1,2,2,1,1,"39","37",7,6,4,1,3,0,2,3,2,1,14,16,5,6,9,10,20,21,52,48,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.46,4.10,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Zwickau
1501329600,Jul 29 2017 - 12:00pm,complete,12500,Hansa Rostock,Sonnenhof Großaspach,N/A,2,0.00,0.00,1.74,1.32,0,0,0,0,0,0,"","",4,3,2,0,2,0,1,1,0,2,10,11,5,3,5,8,10,15,59,41,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.38,3.74,0.00,0.00,0.00,0.00,0.00,0.00,Ostseestadion
1501329600,Jul 29 2017 - 12:00pm,complete,17140,Magdeburg,Rot-Weiß Erfurt,N/A,2,0.00,0.00,2.53,0.53,3,0,3,3,3,0,"4,27,28","",5,1,2,0,3,1,1,1,0,4,10,5,5,2,5,3,13,13,55,45,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.89,3.51,4.60,0.00,0.00,0.00,0.00,0.00,0.00,MDCC-Arena
1501329600,Jul 29 2017 - 12:00pm,complete,9130,Preußen Münster,Meppen,N/A,2,0.00,0.00,1.68,1.26,3,0,3,0,0,0,"51,66,86","",2,8,1,0,3,1,0,1,3,1,12,5,7,2,5,3,11,14,45,55,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.45,3.96,0.00,0.00,0.00,0.00,0.00,0.00,Preußen-Stadion
1501416000,Jul 30 2017 - 12:00pm,complete,5057,Würzburger Kickers,Werder Bremen II,N/A,2,0.00,0.00,1.47,0.63,1,1,2,0,0,0,"84","74",6,6,2,0,3,0,0,2,0,3,11,8,5,2,6,6,19,16,54,46,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.56,4.85,0.00,0.00,0.00,0.00,0.00,0.00,flyeralarm-Arena
1501606800,Aug 01 2017 - 5:00pm,complete,7269,Rot-Weiß Erfurt,Hansa Rostock,N/A,3,1.00,3.00,0.68,1.42,0,1,1,1,0,1,"","27",7,6,2,0,2,0,1,1,1,1,7,12,2,6,5,6,14,20,51,49,0.00,0.00,2.00,50,100,0,0,0,50,100,0,50,6.00,1.00,3.14,3.24,2.48,0.00,0.00,0.00,0.00,0.00,0.00,Multifunktionsarena Erfurt
1501606800,Aug 01 2017 - 5:00pm,complete,1500,Sonnenhof Großaspach,Zwickau,N/A,3,3.00,0.00,1.16,0.63,2,0,2,1,1,0,"22,66","",2,11,3,0,3,0,1,2,1,2,13,18,5,7,8,11,15,21,41,59,0.00,0.00,3.00,50,50,50,50,50,0,100,50,50,6.00,5.00,2.18,3.43,3.57,0.00,0.00,0.00,0.00,0.00,0.00,mechatronik Arena
