Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-04-26;54,1829;54,6463;53,4464;54,4725;;
2021-04-23;54,5583;54,9478;53,9864;54,6411;;
2021-04-22;54,076;54,4579;53,6029;54,1674;;
2021-04-21;55,2927;55,401;54,0768;54,4349;;
2021-04-20;56,2277;56,4849;54,3772;55,0992;;
2021-04-19;55,1973;55,8371;55,1558;55,7457;;
2021-04-16;56,007;56,1405;55,4397;55,8235;;
2021-04-15;55,6475;55,9816;55,071;55,9482;;
2021-04-14;54,0037;55,9178;53,6777;55,6921;;
2021-04-13;53,6231;53,9677;53,1859;53,4381;;
2021-04-12;52,6042;54,0155;52,4026;53,1754;;
2021-04-09;52,9105;53,289;52,6329;52,9526;;
2021-04-08;52,8763;53,4153;52,5394;53,1374;;
2021-04-07;52,9788;53,45;51,8092;53,0882;;
2021-04-06;53,0477;54,4108;52,9885;53,0901;;
2021-04-01;53,8396;55,3806;53,1841;55,2273;;
2021-03-31;55,1301;55,2665;54,1748;54,2942;;
2021-03-30;55,0805;55,4893;54,101;54,595;;
2021-03-29;54,0224;55,5329;53,9121;55,0322;;
2021-03-26;53,5648;55,0925;53,378;54,6681;;
2021-03-25;53,8468;54,1095;51,6607;52,3725;;
2021-03-24;51,9662;54,6047;51,9662;54,334;;
2021-03-23;53,7659;53,8248;50,9047;50,9636;;
2021-03-22;53,4798;54,5195;53,4798;54,1758;;
2021-03-19;53,0822;54,3016;52,1991;54,1418;;
2021-03-18;56,506;57,2028;53,8113;54,0715;;
2021-03-17;57,7307;57,7475;56,219;57,1765;;
2021-03-16;57,4375;57,5801;56,599;57,295;;
2021-03-15;58,6829;58,7081;56,9211;57,6846;;
2021-03-12;58,1497;58,5938;57,9318;57,9653;;
2021-03-11;57,0223;58,2171;56,9388;58,075;;
2021-03-10;56,8533;57,5513;56,1638;57,0131;;
2021-03-09;57,3314;58,2731;56,6252;56,6924;;
2021-03-08;59,1269;59,2112;57,138;57,1718;;
2021-03-05;56,8437;58,2845;56,5756;58,0667;;
2021-03-04;53,7145;56,2656;52,6674;55,6507;;
2021-03-03;52,1995;53,7019;51,9505;53,4197;;
2021-03-02;52,2115;53,3173;52,0785;52,8351;;
2021-03-01;54,3184;54,3848;52,4268;52,8831;;
2021-02-26;54,7645;54,9212;54,1704;54,5005;;
2021-02-25;55,3374;55,4029;54,3722;54,544;;
2021-02-24;53,8284;55,401;53,6638;55,2939;;
2021-02-23;54,3935;54,8217;53,0758;53,8747;;
2021-02-22;52,1965;53,6141;52,0481;53,5564;;
2021-02-19;51,9153;52,6979;51,454;51,9153;;
2021-02-18;53,7819;53,8563;52,3337;52,375;;
2021-02-17;53,0182;53,7065;52,33;53,2587;;
2021-02-16;52,2194;52,2276;51,61;52,0794;;
2021-02-15;52,2879;52,5023;51,9829;52,09;;
2021-02-12;50,0578;51,9078;49,8266;51,8005;;
2021-02-11;50,3663;50,6298;50,07;50,3499;;
2021-02-10;50,3175;50,8535;50,2598;50,6308;;
2021-02-09;50,3966;50,5866;49,5952;50,5205;;
2021-02-08;49,9875;50,4366;49,7547;50,1788;;
2021-02-05;49,395;49,8873;49,3449;49,7121;;
2021-02-04;49,133;49,2331;48,3745;49,0413;;
2021-02-03;48,2733;49,0222;47,9737;48,681;;
2021-02-02;47,2019;48,19;47,1936;47,7499;;
2021-02-01;46,003;46,6071;45,7299;46,5326;;
2021-01-29;45,6823;46,4568;45,6081;46,0695;;
2021-01-28;45,9515;46,7951;45,7365;46,1169;;
2021-01-27;46,3431;46,6237;45,5589;46,1532;;
2021-01-26;45,7053;46,3971;45,7053;46,043;;
2021-01-25;45,869;46,0912;45,3259;45,7456;;
2021-01-22;45,4927;45,8299;44,7936;45,6161;;
2021-01-21;45,9204;46,2412;45,6161;46,1507;;
2021-01-20;46,5499;46,7895;46,2606;46,3102;;
2021-01-19;45,6396;46,2331;45,4088;46,1095;;
2021-01-18;45,441;45,7808;45,1923;45,3581;;
2021-01-15;45,9622;46,053;45,0549;45,459;;
2021-01-14;46,4533;46,5605;45,5378;46,4203;;
2021-01-13;46,7861;46,9505;45,8326;46,1121;;
2021-01-12;46,1146;46,6491;45,9502;46,4682;;
2021-01-11;45,3507;45,9344;45,2356;45,77;;
2021-01-08;44,6694;45,4286;44,5959;45,3714;;
2021-01-07;44,4444;44,6155;44,0453;44,3956;;
2021-01-06;43,5241;44,367;43,2566;44,2454;;
2021-01-05;41,5533;43,9003;41,4555;43,8106;;
2021-01-04;43,1685;43,38;41,2655;41,7453;;
2020-12-31;41,9363;42,0015;41,8303;41,8711;;
2020-12-30;41,9266;41,9917;41,5438;41,666;;
2020-12-29;41,9284;42,1323;41,6102;41,6673;;
2020-12-28;42,3193;42,5812;41,7465;41,7546;;
2020-12-23;40,9173;42,3804;40,8762;42,2571;;
2020-12-22;41,0083;41,4168;40,8122;41,0736;;
2020-12-21;41,3867;41,8139;40,3927;41,6988;;
2020-12-18;41,9202;42,7196;41,7489;42,6788;;
2020-12-17;42,1607;42,2587;41,6871;41,9402;;
2020-12-16;41,48;41,9723;41,2913;41,882;;
2020-12-15;41,2932;41,9357;40,9802;41,6722;;
2020-12-14;41,5968;41,7612;40,4374;41,1857;;
2020-12-11;41,7003;41,7746;41,0324;41,2551;;
2020-12-10;40,487;42,1461;40,4127;41,6921;;
2020-12-09;40,4905;40,5401;40,2511;40,3171;;
2020-12-08;40,1354;40,4656;39,896;40,2675;;
2020-12-07;40,1303;40,7899;39,8664;40,625;;
2020-12-04;40,8422;41,0231;40,1513;40,505;;
2020-12-03;39,865;40,2683;39,2396;40,1613;;
2020-12-02;39,2342;40,4194;39,0436;40,0215;;
2020-12-01;39,8646;40,3576;39,1711;39,5304;;
2020-11-30;39,5242;40,0584;39,3072;39,6327;;
2020-11-27;39,7836;40,6475;39,7165;40,463;;
2020-11-26;40,5378;40,5966;39,916;40,084;;
2020-11-25;40,8158;40,942;40,3785;40,8326;;
2020-11-24;39,115;40,5057;38,8959;40,2781;;
2020-11-23;38,459;38,6858;38,0556;38,627;;
2020-11-20;37,3261;37,8319;37,2166;37,7645;;
2020-11-19;37,5423;37,6268;36,9844;37,1028;;
2020-11-18;37,0239;37,816;36,9987;37,6138;;
2020-11-17;37,0729;37,1739;36,2397;36,5763;;
2020-11-16;36,9653;37,743;36,5342;36,9907;;
2020-11-13;36,3267;36,6822;36,132;36,3944;;
2020-11-12;37,0113;37,7237;36,7144;37,1979;;
2020-11-11;38,0163;38,5093;37,3279;37,3959;;
2020-11-10;35,9671;36,8225;35,9333;36,7886;;
2020-11-09;34,0318;36,5901;33,8298;35,799;;
2020-11-06;34,1955;34,2376;33,1424;33,3698;;
2020-11-05;34,5002;35,0401;34,2303;34,4412;;
2020-11-04;34,3059;35,1932;33,6063;35,1165;;
2020-11-03;33,5498;34,5411;33,4815;34,1395;;
2020-11-02;31,2479;33,4277;31,2135;33,1016;;
2020-10-30;32,0226;32,5098;31,8687;32,0055;;
2020-10-29;32,5444;32,5444;31,2714;32,2454;;
2020-10-28;34,2116;34,2543;33,0519;33,4783;;
2020-10-27;34,356;35,0744;34,1362;34,7701;;
2020-10-26;34,2076;34,7999;34,0046;34,2499;;
2020-10-23;35,6275;36,0999;34,9865;35,1046;;
2020-10-22;35,42;36,1983;35,2677;35,843;;
2020-10-21;35,9686;36,0867;34,9561;35,2008;;
2020-10-20;35,9865;36,3167;35,6986;36,2489;;
2020-10-19;36,6313;36,6907;36,1222;36,258;;
2020-10-16;36,3598;36,7005;36,0106;36,6238;;
2020-10-15;36,9294;36,9379;35,5274;36,7499;;
2020-10-14;35,9149;36,9617;35,8298;36,8511;;
2020-10-13;35,4373;36,2179;35,4119;36,0821;;
2020-10-12;35,8929;35,9607;35,0538;35,3674;;
2020-10-09;36,7783;36,9479;36,1085;36,3035;;
2020-10-08;36,0221;36,9231;35,9456;36,7871;;
2020-10-07;35,9388;36,0408;35,1232;35,548;;
2020-10-06;35,2522;36,3374;34,947;36,0831;;
2020-10-05;33,948;35,5201;33,795;35,2566;;
2020-10-02;34,0068;34,0835;33,0776;33,4783;;
2020-10-01;35,9854;36,0279;33,9602;34,7005;;
2020-09-30;34,7284;34,9505;34,3782;34,9334;;
2020-09-29;36,0109;36,1989;34,524;34,8317;;
2020-09-28;35,7584;36,3668;35,5613;36,1954;;
2020-09-25;36,2644;36,3933;35,6627;36,0151;;
2020-09-24;35,672;36,0584;35,4229;36,024;;
2020-09-23;35,4516;36,4352;35,272;35,7424;;
2020-09-22;35,3918;35,937;35,0937;35,4429;;
2020-09-21;36,133;36,2009;34,7247;35,0132;;
2020-09-18;36,8884;37,032;35,9334;36,432;;
2020-09-17;35,2462;36,8907;35,2123;36,7212;;
2020-09-16;34,7544;35,6054;34,6954;35,4621;;
2020-09-15;33,2324;34,3424;33,1063;34,1911;;
2020-09-14;33,6898;33,7403;33,0835;33,454;;
2020-09-11;33,6005;34,0138;33,2209;33,5667;;
2020-09-10;34,3067;34,4755;33,8172;33,8932;;
2020-09-09;33,7552;35,0123;33,7042;34,7235;;
2020-09-08;35,4603;35,5876;33,3305;33,7123;;
2020-09-07;35,6225;35,8931;35,2926;35,5463;;
2020-09-04;36,8857;37,6288;35,7203;36,0159;;
2020-09-03;37,4503;37,4757;36,5022;37,2979;;
2020-09-02;38,7404;38,8247;37,324;37,3324;;
2020-09-01;38,1497;38,5751;37,9912;38,0829;;
2020-08-31;38,8107;38,9782;38,0905;38,1323;;
2020-08-28;37,8347;38,0025;37,5745;37,7843;;
2020-08-27;38,6498;38,8616;37,7012;38,1332;;
2020-08-26;39,0534;39,1127;38,6123;38,8243;;
2020-08-25;38,3105;38,9961;38,2089;38,8437;;
2020-08-24;37,6467;38,0772;37,5876;38,0012;;
2020-08-21;38,0746;38,1256;37,0125;37,4713;;
2020-08-20;38,0084;38,0759;37,1224;37,7553;;
2020-08-19;37,7441;38,1296;37,5262;38,0206;;
2020-08-18;38,0144;38,2664;37,5693;38,1152;;
2020-08-17;38,0326;38,2266;37,5348;38,2266;;
2020-08-14;37,9328;38,1021;37,628;37,7466;;
2020-08-13;38,3166;38,5447;37,8518;38,0292;;
