Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-04-26;65,48;66,04;64,59;65,83;;
2021-04-23;65,83;66,30;65,14;65,93;;
2021-04-22;65,14;65,60;64,57;65,25;;
2021-04-21;66,39;66,52;64,93;65,36;;
2021-04-20;67,76;68,07;65,53;66,40;;
2021-04-19;66,43;67,20;66,38;67,09;;
2021-04-16;67,13;67,29;66,45;66,91;;
2021-04-15;66,61;67,01;65,92;66,97;;
2021-04-14;64,61;66,90;64,22;66,63;;
2021-04-13;63,79;64,20;63,27;63,57;;
2021-04-12;62,62;64,30;62,38;63,30;;
2021-04-09;62,90;63,35;62,57;62,95;;
2021-04-08;62,78;63,42;62,38;63,09;;
2021-04-07;62,96;63,52;61,57;63,09;;
2021-04-06;62,66;64,27;62,59;62,71;;
2021-04-01;63,24;65,05;62,47;64,87;;
2021-03-31;64,64;64,80;63,52;63,66;;
2021-03-30;64,67;65,15;63,52;64,10;;
2021-03-29;63,66;65,44;63,53;64,85;;
2021-03-26;63,11;64,91;62,89;64,41;;
2021-03-25;63,55;63,86;60,97;61,81;;
2021-03-24;61,45;64,57;61,45;64,25;;
2021-03-23;63,89;63,96;60,49;60,56;;
2021-03-22;63,78;65,02;63,78;64,61;;
2021-03-19;63,12;64,57;62,07;64,38;;
2021-03-18;67,31;68,14;64,10;64,41;;
2021-03-17;68,74;68,76;66,94;68,08;;
2021-03-16;68,50;68,67;67,50;68,33;;
2021-03-15;69,95;69,98;67,85;68,76;;
2021-03-12;69,39;69,92;69,13;69,17;;
2021-03-11;68,25;69,68;68,15;69,51;;
2021-03-10;67,61;68,44;66,79;67,80;;
2021-03-09;68,19;69,31;67,35;67,43;;
2021-03-08;70,16;70,26;67,80;67,84;;
2021-03-05;67,86;69,58;67,54;69,32;;
2021-03-04;64,64;67,71;63,38;66,97;;
2021-03-03;62,89;64,70;62,59;64,36;;
2021-03-02;62,80;64,13;62,64;63,55;;
2021-03-01;65,47;65,55;63,19;63,74;;
2021-02-26;66,38;66,57;65,66;66,06;;
2021-02-25;67,65;67,73;66,47;66,68;;
2021-02-24;65,38;67,29;65,18;67,16;;
2021-02-23;66,05;66,57;64,45;65,42;;
2021-02-22;63,33;65,05;63,15;64,98;;
2021-02-19;63,02;63,97;62,46;63,02;;
2021-02-18;64,99;65,08;63,24;63,29;;
2021-02-17;63,94;64,77;63,11;64,23;;
2021-02-16;63,41;63,42;62,67;63,24;;
2021-02-15;63,42;63,68;63,05;63,18;;
2021-02-12;60,61;62,85;60,33;62,72;;
2021-02-11;61,18;61,50;60,82;61,16;;
2021-02-10;61,02;61,67;60,95;61,40;;
2021-02-09;61,00;61,23;60,03;61,15;;
2021-02-08;60,11;60,65;59,83;60,34;;
2021-02-05;59,19;59,78;59,13;59,57;;
2021-02-04;58,94;59,06;58,03;58,83;;
2021-02-03;58,01;58,91;57,65;58,50;;
2021-02-02;56,85;58,04;56,84;57,51;;
2021-02-01;55,59;56,32;55,26;56,23;;
2021-01-29;55,44;56,38;55,35;55,91;;
2021-01-28;55,56;56,58;55,30;55,76;;
2021-01-27;56,14;56,48;55,19;55,91;;
2021-01-26;55,50;56,34;55,50;55,91;;
2021-01-25;55,74;56,01;55,08;55,59;;
2021-01-22;55,31;55,72;54,46;55,46;;
2021-01-21;55,83;56,22;55,46;56,11;;
2021-01-20;56,33;56,62;55,98;56,04;;
2021-01-19;55,37;56,09;55,09;55,94;;
2021-01-18;54,82;55,23;54,52;54,72;;
2021-01-15;55,72;55,83;54,62;55,11;;
2021-01-14;56,32;56,45;55,21;56,28;;
2021-01-13;56,92;57,12;55,76;56,10;;
2021-01-12;56,08;56,73;55,88;56,51;;
2021-01-11;55,16;55,87;55,02;55,67;;
2021-01-08;54,72;55,65;54,63;55,58;;
2021-01-07;54,56;54,77;54,07;54,50;;
2021-01-06;53,70;54,74;53,37;54,59;;
2021-01-05;50,99;53,87;50,87;53,76;;
2021-01-04;53,08;53,34;50,74;51,33;;
2020-12-31;51,46;51,54;51,33;51,38;;
2020-12-30;51,49;51,57;51,02;51,17;;
2020-12-29;51,40;51,65;51,01;51,08;;
2020-12-28;51,71;52,03;51,01;51,02;;
2020-12-23;49,78;51,56;49,73;51,41;;
2020-12-22;50,19;50,69;49,95;50,27;;
2020-12-21;50,38;50,90;49,17;50,76;;
2020-12-18;51,39;52,37;51,18;52,32;;
2020-12-17;51,63;51,75;51,05;51,36;;
2020-12-16;50,56;51,16;50,33;51,05;;
2020-12-15;50,13;50,91;49,75;50,59;;
2020-12-14;50,59;50,79;49,18;50,09;;
2020-12-11;50,57;50,66;49,76;50,03;;
2020-12-10;49,05;51,06;48,96;50,51;;
2020-12-09;49,03;49,09;48,74;48,82;;
2020-12-08;48,62;49,02;48,33;48,78;;
2020-12-07;48,67;49,47;48,35;49,27;;
2020-12-04;49,66;49,88;48,82;49,25;;
2020-12-03;48,44;48,93;47,68;48,80;;
2020-12-02;47,34;48,77;47,11;48,29;;
2020-12-01;47,71;48,30;46,88;47,31;;
2020-11-30;47,35;47,99;47,09;47,48;;
2020-11-27;47,43;48,46;47,35;48,24;;
2020-11-26;48,24;48,31;47,50;47,70;;
2020-11-25;48,53;48,68;48,01;48,55;;
2020-11-24;46,41;48,06;46,15;47,79;;
2020-11-23;45,77;46,04;45,29;45,97;;
2020-11-20;44,28;44,88;44,15;44,80;;
2020-11-19;44,42;44,52;43,76;43,90;;
2020-11-18;43,94;44,88;43,91;44,64;;
2020-11-17;44,05;44,17;43,06;43,46;;
2020-11-16;43,73;44,65;43,22;43,76;;
2020-11-13;42,92;43,34;42,69;43,00;;
2020-11-12;43,64;44,48;43,29;43,86;;
2020-11-11;44,73;45,31;43,92;44,00;;
2020-11-10;42,47;43,48;42,43;43,44;;
2020-11-09;40,44;43,48;40,20;42,54;;
2020-11-06;40,59;40,64;39,34;39,61;;
2020-11-05;40,90;41,54;40,58;40,83;;
2020-11-04;40,21;41,25;39,39;41,16;;
2020-11-03;39,26;40,42;39,18;39,95;;
2020-11-02;36,41;38,95;36,37;38,57;;
2020-10-30;37,46;38,03;37,28;37,44;;
2020-10-29;38,09;38,09;36,60;37,74;;
2020-10-28;40,12;40,17;38,76;39,26;;
2020-10-27;40,65;41,50;40,39;41,14;;
2020-10-26;40,43;41,13;40,19;40,48;;
2020-10-23;42,24;42,80;41,48;41,62;;
2020-10-22;41,87;42,79;41,69;42,37;;
2020-10-21;42,63;42,77;41,43;41,72;;
2020-10-20;42,50;42,89;42,16;42,81;;
2020-10-19;43,17;43,24;42,57;42,73;;
2020-10-16;42,69;43,09;42,28;43,00;;
2020-10-15;43,20;43,21;41,56;42,99;;
2020-10-14;42,20;43,43;42,10;43,30;;
2020-10-13;41,77;42,69;41,74;42,53;;
2020-10-12;42,35;42,43;41,36;41,73;;
2020-10-09;43,38;43,58;42,59;42,82;;
2020-10-08;42,38;43,44;42,29;43,28;;
2020-10-07;42,30;42,42;41,34;41,84;;
2020-10-06;41,58;42,86;41,22;42,56;;
2020-10-05;39,95;41,80;39,77;41,49;;
2020-10-02;39,89;39,98;38,80;39,27;;
2020-10-01;42,29;42,34;39,91;40,78;;
2020-09-30;40,66;40,92;40,25;40,90;;
2020-09-29;42,14;42,36;40,40;40,76;;
2020-09-28;41,73;42,44;41,50;42,24;;
2020-09-25;42,19;42,34;41,49;41,90;;
2020-09-24;41,54;41,99;41,25;41,95;;
2020-09-23;41,45;42,60;41,24;41,79;;
2020-09-22;41,55;42,19;41,20;41,61;;
2020-09-21;42,59;42,67;40,93;41,27;;
2020-09-18;43,65;43,82;42,52;43,11;;
2020-09-17;41,58;43,52;41,54;43,32;;
2020-09-16;41,25;42,26;41,18;42,09;;
2020-09-15;39,52;40,84;39,37;40,66;;
2020-09-14;40,01;40,07;39,29;39,73;;
2020-09-11;39,83;40,32;39,38;39,79;;
2020-09-10;40,65;40,85;40,07;40,16;;
2020-09-09;39,74;41,22;39,68;40,88;;
2020-09-08;41,79;41,94;39,28;39,73;;
2020-09-07;42,12;42,44;41,73;42,03;;
2020-09-04;43,68;44,56;42,30;42,65;;
2020-09-03;44,24;44,27;43,12;44,06;;
2020-09-02;45,95;46,05;44,27;44,28;;
2020-09-01;45,73;46,24;45,54;45,65;;
2020-08-31;46,34;46,54;45,48;45,53;;
2020-08-28;45,08;45,28;44,77;45,02;;
2020-08-27;45,63;45,88;44,51;45,02;;
2020-08-26;46,04;46,11;45,52;45,77;;
2020-08-25;45,26;46,07;45,14;45,89;;
2020-08-24;44,60;45,11;44,53;45,02;;
2020-08-21;44,81;44,87;43,56;44,10;;
2020-08-20;45,04;45,12;43,99;44,74;;
2020-08-19;45,04;45,50;44,78;45,37;;
2020-08-18;45,26;45,56;44,73;45,38;;
2020-08-17;45,08;45,31;44,49;45,31;;
2020-08-14;44,81;45,01;44,45;44,59;;
2020-08-13;45,34;45,61;44,79;45,00;;
2020-08-12;45,01;45,49;44,80;45,35;;
2020-08-11;45,20;45,78;44,68;44,76;;
2020-08-10;44,82;45,28;44,65;45,19;;
2020-08-07;44,95;45,24;44,26;44,39;;
2020-08-06;45,40;45,71;44,82;45,07;;
2020-08-05;44,68;46,20;44,57;45,24;;
2020-08-04;44,04;44,83;43,23;44,72;;
2020-08-03;43,01;44,47;42,89;44,40;;
2020-07-31;43,20;43,42;43,02;43,32;;
2020-07-30;43,38;43,60;41,41;42,58;;
2020-07-29;43,47;43,97;43,40;43,70;;
2020-07-28;43,63;43,68;42,98;43,08;;
2020-07-27;43,12;43,78;42,38;43,43;;
2020-07-24;43,05;43,91;42,75;43,12;;
2020-07-23;44,64;44,80;43,66;43,80;;
2020-07-22;44,29;44,36;43,59;44,18;;
2020-07-21;43,60;44,90;43,49;44,22;;
2020-07-20;42,68;43,41;42,36;43,41;;
2020-07-17;43,22;43,41;42,61;43,18;;
2020-07-16;43,67;43,81;43,28;43,40;;
2020-07-15;43,58;43,64;42,70;43,56;;
2020-07-14;42,00;43,21;41,90;42,85;;
